uid;username;user_spend_time;60 saniye;300 saniye;600 saniye;Socket ile 60;Socket ile 300;Socket ile 600;role
1362566;muge.guneser;1101;9941;12312;13235;9941;12312;13235;ROLE_MANAGER
1362567;mrd.fatma.yildirim;11915;458;912;1375;458;848;1311;ROLE_MANAGER
1362568;mesutkaya;1118;408;1798;1798;408;1798;1798;ROLE_MANAGER
1362577;nejla.gullu3;4369;1288;2975;3948;1288;2975;3948;ROLE_MANAGER
1362579;ozturk.hakan;42;42;42;42;42;42;42;ROLE_MANAGER
1362580;ceyda.savas1;3158;321;390;390;321;390;390;ROLE_MANAGER
1362581;berrak.cebi3;317;4;176;176;4;176;176;ROLE_MANAGER
1362582;aylin.toroslu1;620;104;241;241;104;241;241;ROLE_MANAGER
1362586;tugce.bilmez0;2810;240;1660;1660;240;1660;1660;ROLE_MANAGER
1362587;fuat.cicek3;0;2;2;2;2;2;2;ROLE_MANAGER
1362596;tubabaykaran;3088;971;3340;5508;971;3340;5508;ROLE_MANAGER
1362599;senem.dincer54;199;233;1184;2026;233;1184;2026;ROLE_MANAGER
1362600;pinar.yakarr;3108;796;2743;3407;912;2859;3523;ROLE_MANAGER
1362602;funda.goktas3;76;69;69;69;69;69;69;ROLE_MANAGER
1362603;gizem.yoltay1;8050;1128;2271;2798;1268;2326;2853;ROLE_MANAGER
1362615;my.seyma.ozkan;765;411;848;1541;411;848;1541;ROLE_MANAGER
1362616;canan.gultekin;1383;257;329;1691;257;329;1691;ROLE_MANAGER
1362620;esengul.atamturk2;1453;6;361;789;6;361;789;ROLE_MANAGER
1362624;kemal.demir;16386;465;2122;3110;465;2122;3110;ROLE_MANAGER
1362625;mehves.pamukcu;8902;299;1220;2053;485;1214;2047;ROLE_MANAGER
1362626;bkit.ramazan.erol;254;50;241;241;50;241;241;ROLE_MANAGER
1362629;irem.dogan.bircan3;4968;441;780;1261;598;937;1418;ROLE_MANAGER
1362630;yucel.karaaslan1;2579;327;1437;1747;547;1419;1419;ROLE_MANAGER
1362633;demet.akmer3;3462;1552;3812;4748;2193;3799;4735;ROLE_MANAGER
1362634;oguzdemirel;196;82;208;208;82;208;208;ROLE_MANAGER
1362635;suleymanunsal;290;181;260;260;181;260;260;ROLE_MANAGER
1362640;ceren.sasmaz2015;682;163;625;1186;163;625;1186;ROLE_MANAGER
1362641;anil.filazioglu1;8011;356;1635;2258;1923;2239;2239;ROLE_MANAGER
1362650;bkhasime;46;296;416;416;296;416;416;ROLE_MANAGER
1362652;aytunc.engin1;4441;1281;4926;7736;2770;5426;7737;ROLE_MANAGER
1362654;my.gaye.cakir;165;24;254;254;24;254;254;ROLE_MANAGER
1362655;mehtap.gunes25;633;209;276;276;209;276;276;ROLE_MANAGER
1362656;seda.ozturk33;123;100;100;100;100;100;100;ROLE_MANAGER
1362657;kerim.batmaz;0;37;37;37;37;37;37;ROLE_MANAGER
1362658;aynur.balkann;0;0;0;555;0;0;555;ROLE_MANAGER
1362661;aslihan.top;2119;281;661;661;404;636;636;ROLE_MANAGER
1362662;guliz.yarim;2790;638;2232;2685;1463;2320;2773;ROLE_MANAGER
1362678;ceren.kucukuzun;14108;103;697;697;581;734;734;ROLE_MANAGER
1362679;volkan.guler11;22543;2249;7543;11632;4161;8476;12063;ROLE_MANAGER
1362680;hasan.keles8;0;61;244;244;61;244;244;ROLE_MANAGER
1362693;merve.atas;36;74;74;74;74;74;74;ROLE_MANAGER
1362695;ceren.yetimbk;1579;1031;2632;2980;1780;2235;2235;ROLE_MANAGER
1362696;mehtap.ozarpaci3;504;98;98;452;98;98;452;ROLE_MANAGER
1362699;azize.dalcik3;19496;123;526;526;123;526;526;ROLE_MANAGER
1362701;resulaktas;5812;1903;5583;6061;2309;5572;6050;ROLE_MANAGER
1362702;yasin.ziya;121;160;160;160;189;189;189;ROLE_MANAGER
1362704;ercan.cakmak1;4600;599;2381;2381;1283;2338;2338;ROLE_MANAGER
1362706;ferhat.bahcesehir;2500;1013;2308;3363;1438;2098;3153;ROLE_MANAGER
1362711;neziheesin.ekinci;4913;433;1102;2015;897;1566;1566;ROLE_MANAGER
1362717;ceylan.emeksiz;15;6;6;6;6;6;6;ROLE_MANAGER
1362722;my.ceylan.kayabasi;8142;70;394;941;70;394;941;ROLE_MANAGER
1362736;ismailbakmaz;938;443;949;1290;260;564;905;ROLE_MANAGER
1362737;haciali.celik;1274;204;609;1492;644;1049;1486;ROLE_MANAGER
1362747;neslihan.helvacilar;4637;1165;3018;4574;1165;3018;4574;ROLE_MANAGER
1362754;burcu.ozpirincci;6589;908;4238;4887;3175;4497;4818;ROLE_MANAGER
1362759;aysegul1;435;177;934;1699;177;934;1699;ROLE_MANAGER
1362774;nukte.teber4;17956;530;1195;1550;571;818;1173;ROLE_MANAGER
1362778;asena.esedoglu24;2962;432;1234;1234;838;1268;1268;ROLE_MANAGER
1362779;hayri.padak1;143;101;101;101;101;101;101;ROLE_MANAGER
1362782;bk.ergunguvenal;13377;4266;8656;10600;5487;8696;10640;ROLE_MANAGER
1362783;yelizcomert;10603;1189;4996;7044;2012;4739;6320;ROLE_MANAGER
1362784;yalcin.koyun4;237;99;387;387;366;589;589;ROLE_MANAGER
1362786;emre.atalay15;0;34;144;144;34;144;144;ROLE_MANAGER
1362788;aysin.meric.degirmenci2;3997;636;2253;3822;656;2273;3842;ROLE_MANAGER
1362789;suleyman.coskun20;991;145;886;1415;145;886;1415;ROLE_MANAGER
1362803;ayseazize.oral;1302;504;985;985;504;985;985;ROLE_MANAGER
1362804;neslihan.akkan1;2237;870;3323;4062;870;3323;4062;ROLE_MANAGER
1362805;betul.eryilmaz1;7715;1297;2792;4998;1860;2847;5053;ROLE_MANAGER
1362809;feyza.ozge;11;6;6;6;6;6;6;ROLE_MANAGER
1362811;nihal.mazanoglu1;1168;246;810;1181;246;810;1181;ROLE_MANAGER
1362813;sedat.tasdemir;5320;2131;3932;5761;2180;3981;5810;ROLE_MANAGER
1362816;mdy.nuray.sahin;499;170;312;312;170;312;312;ROLE_MANAGER
1362820;alperen.ozturk1;2770;601;2327;2327;637;2280;2280;ROLE_MANAGER
1362826;nihalsubasi;1017;2;67;1577;1023;1023;1023;ROLE_MANAGER
1362828;mustafakaskaval;6581;1279;1900;3879;1711;2332;3864;ROLE_MANAGER
1362829;yavuz.cetin1;60324;6046;19447;25166;9540;19604;23274;ROLE_MANAGER
1362830;gunce.kavaz;559;48;620;620;65;217;217;ROLE_MANAGER
1362831;burak.aktay;438;230;417;417;230;417;417;ROLE_MANAGER
1362832;ayse.can.sari;269;77;359;359;77;359;359;ROLE_MANAGER
1362833;guncekavaz;133;13;106;106;13;106;106;ROLE_MANAGER
1362835;fatma.sargin1;6212;776;1900;2668;776;1900;2668;ROLE_MANAGER
1362836;cihan.bilinmez26;5879;131;194;194;131;194;194;ROLE_MANAGER
1362839;ayben.dervisoglu;104;13;116;116;13;116;116;ROLE_MANAGER
1362840;ceylin.bektas1;3535;167;781;1281;164;778;778;ROLE_MANAGER
1362841;fatmaseker;8034;1523;4675;7020;2548;4424;6769;ROLE_MANAGER
1362843;myserkan.altindis;3024;282;708;1198;282;708;1198;ROLE_MANAGER
1362844;my.gunes.kesili;1718;360;1498;1853;360;1498;1853;ROLE_MANAGER
1362849;my.mehmet.pamukcu;1515;285;752;1520;285;752;1520;ROLE_MANAGER
1362851;vahide.erkan1;1485;43;424;1513;43;424;1513;ROLE_MANAGER
1362852;funda.hunerlii;1524;1281;3196;3507;1281;3196;3507;ROLE_MANAGER
1362853;reyhan.ozturk23;855;574;1004;1325;573;1003;1324;ROLE_MANAGER
1362855;asli.irkin;1281;511;1381;1775;751;1381;1775;ROLE_MANAGER
1362857;selcuk.kizil5;16;0;0;0;0;0;0;ROLE_MANAGER
1362863;yasemin.polatsolmaz;693;284;565;565;222;284;284;ROLE_MANAGER
1362865;ankara.cayyolu;213;0;162;162;0;162;162;ROLE_MANAGER
1362866;sule.aslan4;4499;119;786;1238;347;786;1238;ROLE_MANAGER
1362867;kubra.erkal;6140;789;2624;5701;789;2624;5701;ROLE_MANAGER
1362871;my.asli.cakir;751;38;185;1219;38;185;1219;ROLE_MANAGER
1362874;sirin.turkcelik;505;169;706;1574;169;706;1574;ROLE_MANAGER
1362875;birsen.aydin11;330;253;424;424;296;467;467;ROLE_MANAGER
1362876;oyayalic;563;207;375;915;207;375;915;ROLE_MANAGER
1362877;burcinhan;612;152;576;576;152;576;576;ROLE_MANAGER
1362880;ebru.kara1;316;169;297;297;169;297;297;ROLE_MANAGER
1362883;abdulhalim.karacaer;15520;109;336;817;277;504;985;ROLE_MANAGER
1362884;huseyin.oztekin6;4812;1026;3659;6276;1318;3704;6321;ROLE_MANAGER
1362885;duygu.ozgur;7396;2238;5164;5832;2276;4977;5645;ROLE_MANAGER
1362886;didem.atrek01;7136;1003;4245;5417;1683;3978;5150;ROLE_MANAGER
1362887;cagatayhan.kayar2;1459;858;1962;3699;858;1962;3699;ROLE_MANAGER
1362890;fatma.kocakaya01;1082;92;359;359;92;359;359;ROLE_MANAGER
1362891;zerrin.duru.pamuk5;167;257;568;568;257;568;568;ROLE_MANAGER
1362892;ahmet.esen21;4694;1010;4887;7027;1023;4829;6969;ROLE_MANAGER
1362893;azra.gecercetin;7214;2453;6692;12520;2927;6968;12480;ROLE_MANAGER
1362894;ajda.demirag3;1335;6733;7489;7489;6756;7512;7512;ROLE_MANAGER
1362896;mehmet.bingolbk;0;61;61;61;61;61;61;ROLE_MANAGER
1362897;seyma.gunaydin2;336;325;595;595;325;595;595;ROLE_MANAGER
1362899;my.gorkem.yalman;7568;538;1633;2969;538;1633;2969;ROLE_MANAGER
1362900;yeliz.baysan6;2718;392;1825;3573;392;1825;3573;ROLE_MANAGER
1362901;asli.ozgok;4142;477;1055;2249;484;1062;2256;ROLE_MANAGER
1362902;mdry.soner.seker;5706;1105;3323;4933;1712;3320;4930;ROLE_MANAGER
1362903;reyhan.buyukaydinli1;2819;510;1299;3057;656;1445;2819;ROLE_MANAGER
1362904;omer.baglar1;56999;5792;22399;34587;8574;21273;31153;ROLE_MANAGER
1362905;rabia.karahan2018;281;59;799;799;59;799;799;ROLE_MANAGER
1362906;derya.sogut3;515;196;295;663;196;295;663;ROLE_MANAGER
1362912;bkit.nurettin;539;458;685;685;537;695;695;ROLE_MANAGER
1362913;yasemin.askan;29;66;163;163;66;163;163;ROLE_MANAGER
1362915;muzaffer.kilinc;29;0;0;0;0;0;0;ROLE_MANAGER
1362926;ayse.telimen;139;311;1039;1039;269;892;892;ROLE_MANAGER
1362927;samet.ertas;33;63;63;63;59;59;59;ROLE_MANAGER
1362929;aytul.lekesizmy;1796;485;1709;2173;583;1732;2196;ROLE_MANAGER
1362931;mehmet.aktay3;2084;233;374;374;336;405;405;ROLE_MANAGER
1362932;hasan.tekdemir;1049;426;508;1203;556;638;1333;ROLE_MANAGER
1362936;ercan.buyuk2;4812;803;1537;2506;796;1530;2499;ROLE_MANAGER
1362944;my.harun.aycicek;8173;609;1825;2550;652;1868;2593;ROLE_MANAGER
1362945;beyza.eksioglu11;750;614;690;1406;614;690;1406;ROLE_MANAGER
1362946;ilkeakpinar;5009;1284;1889;3258;2131;2736;3261;ROLE_MANAGER
1362951;ugurozan.celik;8266;627;1181;1633;627;1181;1633;ROLE_MANAGER
1362960;elifasu.ince;2392;66;234;590;66;234;590;ROLE_MANAGER
1362961;kaan.basarir1;1069;568;1023;1023;567;1022;1022;ROLE_MANAGER
1362962;pelin.kizkun3;3578;348;1354;2209;348;1354;2209;ROLE_MANAGER
1362967;dogan.senger1;4272;701;3604;4974;931;3550;4393;ROLE_MANAGER
1362970;esin.dadakoglu1;3678;443;1883;2283;751;1878;2278;ROLE_MANAGER
1362972;gonca.bulutsuz1;230;76;325;325;85;334;334;ROLE_MANAGER
1362978;ece.ozay1;1709;320;1064;1581;320;1064;1581;ROLE_MANAGER
1362980;tugba.cirakoglu1;0;71;151;151;71;151;151;ROLE_MANAGER
1362996;didemkarakan;3059;1374;2288;3030;2172;2637;3046;ROLE_MANAGER
1362997;meray.erdogan1;4740;743;1225;2049;1338;1691;2066;ROLE_MANAGER
1362998;sevda.senelyilmaz;8418;903;2659;4644;1246;2816;4447;ROLE_MANAGER
1363000;my.merve.celep;11410;1923;3266;4502;1917;3260;4496;ROLE_MANAGER
1363005;zeynep.gokdemir1;18147;174;1399;3758;650;1875;3757;ROLE_MANAGER
1363006;yeliz.ulukaya.sozer2;2097;570;1644;2045;570;1644;2045;ROLE_MANAGER
1363007;mcekmez;2560;708;1860;2765;1335;1892;2797;ROLE_MANAGER
1363008;basak.aykut5;11466;285;570;1390;285;570;1390;ROLE_MANAGER
1363016;mervesen.akbiyik;251;94;392;855;257;257;257;ROLE_MANAGER
1363017;reh.melisa.serbesuz;236;520;599;599;599;599;599;ROLE_MANAGER
1363024;sennur.esen;307;38;357;357;38;357;357;ROLE_MANAGER
1363026;cansu.gucyetmez;965;367;1435;1761;380;1448;1774;ROLE_MANAGER
1363030;ece.ozcakir;252;24;88;573;24;88;573;ROLE_MANAGER
1363031;bayram.kabdan;2388;1219;3122;5290;1219;3122;5290;ROLE_MANAGER
1363034;ismet.zeylan213;2264;1151;1873;2301;1426;1737;2165;ROLE_MANAGER
1363037;isilkumyol;1029;447;1521;1851;447;1521;1851;ROLE_MANAGER
1363040;serap.ates17;394;16;394;394;16;394;394;ROLE_MANAGER
1363046;emine.meral3;1851;999;2189;2189;1201;2262;2262;ROLE_MANAGER
1363047;emre.yalcin35;13867;134;436;436;134;436;436;ROLE_MANAGER
1363048;faruk.dilber;1283;209;475;475;473;473;473;ROLE_MANAGER
1363051;talha.ulu;0;50;50;50;50;50;50;ROLE_MANAGER
1363052;gizem.ersungur1;607;341;560;560;339;558;558;ROLE_MANAGER
1363055;baris.mert;226;171;171;171;171;171;171;ROLE_MANAGER
1363056;demetrana.gucoglu;7140;1404;2897;3826;1403;2896;3825;ROLE_MANAGER
1363059;cihan.birdag1;550;261;694;694;358;791;791;ROLE_MANAGER
1363061;burcin1.simsek;1369;74;458;804;74;458;804;ROLE_MANAGER
1363063;hazal.karanlik;816;368;1288;2419;368;1288;2419;ROLE_MANAGER
1363064;bahadir.koyuncu2;1512;421;872;1839;421;872;1839;ROLE_MANAGER
1363072;yasar.ispir1;111;34;34;34;34;34;34;ROLE_MANAGER
1363076;zehraakinturk;0;30;30;30;30;30;30;ROLE_MANAGER
1363077;hzyfmdryrd;272;122;279;279;122;279;279;ROLE_MANAGER
1363078;ureyener.cihangir;138;156;473;969;156;156;156;ROLE_MANAGER
1363081;hzyfltnbs;5648;819;3723;5874;1458;3730;5881;ROLE_MANAGER
1363084;mudur.nazilli;6210;3415;6967;8791;3415;6967;8791;ROLE_MANAGER
1363093;oguz.kahraman0;32213;2510;15834;26236;14985;19194;24336;ROLE_MANAGER
1363095;mesut.ozgircek1;2198;438;2193;2655;445;2200;2662;ROLE_MANAGER
1363096;yalin.cagdas.alim2;3385;723;3189;5867;1047;3182;5860;ROLE_MANAGER
1363097;sinemdemir.ustuner1;2113;378;1499;1499;687;1463;1463;ROLE_MANAGER
1363099;my.pinar.karatepe;2237;962;2510;2510;962;2510;2510;ROLE_MANAGER
1363100;my.merve.malkoc;7744;783;3817;6553;1651;4111;6531;ROLE_MANAGER
1363101;ceyhun.ibak4;1148;783;2091;2091;799;2107;2107;ROLE_MANAGER
1363104;deniz.sarioglu;679;103;350;350;103;350;350;ROLE_MANAGER
1363105;ayse.esen2121;3964;1356;4783;6011;1845;4836;6064;ROLE_MANAGER
1363106;aylin.gil;507;38;410;410;38;410;410;ROLE_MANAGER
1363110;servet.ulu;148;17;154;154;154;154;154;ROLE_MANAGER
1363111;deniz.sen;1227;217;217;782;217;217;782;ROLE_MANAGER
1363112;nafiye.kapson;338;128;530;530;128;530;530;ROLE_MANAGER
1363117;halime.kalender9;365;66;306;306;66;306;306;ROLE_MANAGER
1363119;secil.cifter;0;56;711;1430;56;711;1430;ROLE_MANAGER
1363127;kurtulus.bayar;10389;1217;5119;6766;1449;4895;6542;ROLE_MANAGER
1363128;asiye.aksulukose;1399;150;1251;2069;110;1211;2029;ROLE_MANAGER
1363132;oben.oztoklu1;188;142;239;568;142;239;568;ROLE_MANAGER
1363133;perihan.ozal49;198;70;204;204;70;204;204;ROLE_MANAGER
1363134;cigdem.karaca;1941;561;3440;3440;1112;3114;3114;ROLE_MANAGER
1363135;derya.baruoglu7;345;348;1149;1149;348;1149;1149;ROLE_MANAGER
1363136;pinar.artar;22872;483;808;1138;1146;1146;1146;ROLE_MANAGER
1363141;burcin.ekinci;1268;334;844;1639;334;844;1639;ROLE_MANAGER
1363144;eda.guclu1;80;209;394;890;209;394;890;ROLE_MANAGER
1363149;sinan.polat23;3539;14;184;184;14;184;184;ROLE_MANAGER
1363154;pinar.demirok3;2606;103;550;550;103;550;550;ROLE_MANAGER
1363156;zrnsinopbah;0;126;348;348;126;348;348;ROLE_MANAGER
1363157;volkanbezircioglu;79;135;431;431;147;443;443;ROLE_MANAGER
1363159;a.eralp;660;609;2078;2482;777;2068;2472;ROLE_MANAGER
1363162;tugcee;2666;1226;2246;2659;1217;2237;2650;ROLE_MANAGER
1363167;alidogucu;26272;1112;3212;4434;1145;3245;4467;ROLE_MANAGER
1363168;pinar.yenice.cihangir;2706;38;205;205;38;205;205;ROLE_MANAGER
1363177;neslihan.demirkiran;241;42;42;42;42;42;42;ROLE_MANAGER
1363183;baver.ozkaya;0;40;40;40;40;40;40;ROLE_MANAGER
1363185;muge.hazir;3312;234;494;2040;234;494;2040;ROLE_MANAGER
1363186;ersinoz;7697;2607;7262;10174;3734;7357;9820;ROLE_MANAGER
1363189;mdr.ilyas.basak;8508;564;3140;3622;1689;3778;3778;ROLE_MANAGER
1363191;seda.pakkan1;7774;1116;3468;5683;1990;3610;5825;ROLE_MANAGER
1363192;filiz.yurdakul1;2563;529;1292;1292;529;1292;1292;ROLE_MANAGER
1363193;sevim.mengulluoglu2;602;389;632;1400;634;797;1259;ROLE_MANAGER
1363196;mdry.muge.disbudak;2101;513;1981;1981;513;1981;1981;ROLE_MANAGER
1363197;mehmet.ogur;880;374;1132;1592;864;954;954;ROLE_MANAGER
1363198;busra.yargici1;8072;1211;2741;3222;2065;3001;3001;ROLE_MANAGER
1363202;muratcengiz.durmaz;8;26;26;26;26;26;26;ROLE_MANAGER
1363207;eyyup.dalkiran;638;447;1593;2463;452;1598;2468;ROLE_MANAGER
1363208;derya.kutluer1;1200;58;167;167;58;167;167;ROLE_MANAGER
1363210;gulten.degirmencioglu4;428;186;1052;1052;186;1052;1052;ROLE_MANAGER
1363211;h.altunsoy;724;33;321;321;33;321;321;ROLE_MANAGER
1363212;gokhan.saglam.mdy;1083;60;60;605;60;60;605;ROLE_MANAGER
1363216;my.oznur.gunendi;2018;28;190;190;28;190;190;ROLE_MANAGER
1363218;hazal.guher1;139;178;280;280;177;279;279;ROLE_MANAGER
1363222;sebnemuclu;25059;3609;16834;30177;5238;16259;26929;ROLE_MANAGER
1363229;serif.ersoz3;3817;983;2755;3710;983;2755;3710;ROLE_MANAGER
1363239;halime.mersin1;178;178;383;383;242;242;242;ROLE_MANAGER
1363240;hulya.ercan7;0;0;233;233;0;233;233;ROLE_MANAGER
